Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,addFeatureVariant,3,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,addCoreFeatureVariant,3,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,addFeatureVariant,8,2,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,all,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,all,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,defaultVariant,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,defaultVariant,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,featureVariants,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,featureVariants,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,featureVariant,3,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,featureVariant,3,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,execute,14,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,apply,7,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configureDefaultVariant,9,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configureVariant,13,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configureAdditionalVariantSourceSet,7,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configureAdditionalVariantSourceSet,8,1,7
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,createVariantSourceSet,10,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configureAdditionalSourceSetClasspaths,8,1,6
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getScalaSourceSet,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,registerMainVariant,9,1,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,registerAdditionalVariant,7,1,5
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,extendMainConfigurations,7,2,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,createVariantTestTask,8,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configureVariantJar,4,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,registerVariantScaladoc,13,1,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,removeVariantNameFromClassifier,10,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,correctScalaJarClassifiers,8,2,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configureScalaJarClassifiers,6,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,SparkVariant,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,SparkVariant,9,1,6
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,getName,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,getVariantName,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,isDefaultVariant,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,getSparkVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,getScalaVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,getScalaMajorVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,getCapability,3,1,0
